longitude,latitude,suitability_score,normalized_score
103.67446808510638,1.2,0.5066227,0.53570116
103.7595744680851,1.2,0.5055566,0.53457385
103.84468085106383,1.2,0.5056308,0.53465235
103.92978723404255,1.2,0.50929224,0.538524
103.97234042553191,1.2,0.021354942,0.022580646
103.99361702127659,1.2,0.024504308,0.025910774
104.01489361702127,1.2,0.51213026,0.5415249
104.05744680851063,1.2,0.027311593,0.02887919
104.07872340425531,1.2,0.030560754,0.03231484
104.1,1.2,0.515137,0.5447042
103.63191489361702,1.2096774193548387,0.039284747,0.041539565
103.71702127659574,1.2096774193548387,0.044113923,0.046645917
103.80212765957447,1.2096774193548387,0.04598886,0.04862847
103.88723404255319,1.2096774193548387,0.052935936,0.055974286
103.97234042553191,1.2096774193548387,0.06580781,0.069584966
104.01489361702127,1.2096774193548387,0.022626212,0.023924883
104.03617021276595,1.2096774193548387,0.019660518,0.020788968
104.05744680851063,1.2096774193548387,0.077792145,0.08225716
104.1,1.2096774193548387,0.028470485,0.030104598
103.6531914893617,1.2193548387096773,0.9457188,1.0
103.67446808510638,1.2193548387096773,0.03293702,0.034827497
103.73829787234042,1.2193548387096773,0.94401413,0.99819744
103.7595744680851,1.2193548387096773,0.038408667,0.0406132
103.82340425531915,1.2193548387096773,0.9437128,0.9978788
103.84468085106383,1.2193548387096773,0.040078506,0.04237888
103.90851063829787,1.2193548387096773,0.93683136,0.99060243
103.92978723404255,1.2193548387096773,0.04639066,0.049053334
103.99361702127659,1.2193548387096773,0.9237911,0.97681373
104.01489361702127,1.2193548387096773,0.058978725,0.06236391
104.05744680851063,1.2193548387096773,0.018279342,0.019328516
104.06808510638297,1.2193548387096773,0.021685671,0.022930358
104.07872340425531,1.2193548387096773,0.91302174,0.9654262
104.1,1.2193548387096773,0.06958142,0.07357517
103.61063829787234,1.229032258064516,0.03625821,0.038339313
103.69574468085106,1.229032258064516,0.036391743,0.03848051
103.78085106382979,1.229032258064516,0.038001627,0.040182795
103.86595744680851,1.229032258064516,0.04473104,0.047298454
103.95106382978723,1.229032258064516,0.056763075,0.06002109
104.01489361702127,1.229032258064516,0.023413597,0.024757462
104.03617021276595,1.229032258064516,0.067403845,0.071272604
104.07872340425531,1.229032258064516,0.019754268,0.0208881
104.1,1.229032258064516,0.029496588,0.031189596
